Table size: 98852
Feature;Time(s)
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.23
-201116511;16.23
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
-1140705287;16.24
-1140705167;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
335651753;16.24
335651873;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-201116631;16.24
-201116511;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.24
-1274925967;16.24
-1274926087;16.25
-1274925967;16.25
-1274926087;16.25
-1274925967;16.25
-1274926087;16.25
