Table size: 100000
Feature;Time(s)
1478367624;34.74
1478368152;34.74
1478368760;34.74
1478369288;34.74
1478369896;34.74
1478370424;34.74
1478371032;34.74
1478371560;34.74
1478372168;34.74
1478372696;34.74
1478373304;34.74
1478373832;34.74
1478374440;34.74
1478374968;34.74
1478375576;34.74
1478376104;34.74
1478376712;34.74
1478377240;34.74
1478377848;34.74
1478378376;34.74
1478378984;34.74
1478379512;34.74
1478380120;34.74
1478380648;34.74
1478381256;34.74
1478381784;34.74
1478382392;34.74
1478382920;34.74
1478383528;34.74
1478384056;34.74
1478384664;34.74
1478385192;34.74
1478385800;34.74
1478386328;34.74
1478386936;34.74
1478387464;34.74
1478388072;34.74
1478388600;34.74
1478389208;34.74
1478389736;34.74
1478390344;34.74
1478390872;34.74
1478391480;34.74
1478392008;34.74
1478392616;34.74
1478393144;34.74
1478393752;34.74
1478394280;34.74
1478394888;34.74
1478395416;34.74
1478396024;34.74
1478396552;34.74
1478397160;34.74
1478397688;34.74
1478398296;34.74
1478398824;34.74
1478399432;34.74
1478399960;34.74
1478400568;34.74
1478401096;34.74
1478401704;34.74
1478402232;34.74
1478402840;34.74
1478403368;34.74
1478403976;34.74
1478404504;34.74
1478405112;34.74
1478405640;34.74
1478406248;34.74
1478406776;34.74
1478407384;34.74
1478407912;34.74
1478408520;34.74
1478409048;34.74
1478409656;34.74
1478410184;34.74
1478410792;34.74
1478411320;34.74
1478411928;34.74
1478412456;34.74
1478413064;34.74
1478413592;34.74
1478414200;34.74
1478414728;34.74
1478415336;34.74
1478415864;34.74
1478416472;34.74
1478417000;34.74
1478417608;34.74
1478418136;34.74
1478418744;34.74
1478419272;34.74
1478419880;34.74
1478420408;34.74
1478421016;34.74
1478421544;34.74
1478422152;34.74
1478422680;34.74
1478423288;34.74
1478423816;34.74
1478424424;34.74
542885232;32.06
879390952;34.75
879391560;34.75
879392088;34.75
879392696;34.75
879393224;34.75
879393832;34.75
879394360;34.75
879394968;34.75
879395496;34.75
879396104;34.75
879396632;34.75
879397240;34.75
879397768;34.75
879398376;34.75
879398904;34.75
879399512;34.75
879400040;34.75
879400648;34.75
879401176;34.75
879401784;34.75
879402312;34.75
879402920;34.75
879403448;34.75
879404056;34.75
879404584;34.75
879405192;34.75
879405720;34.75
879406328;34.75
879406856;34.75
879407464;34.75
879407992;34.75
879408600;34.75
879409128;34.75
879409736;34.75
879410264;34.75
879410872;34.75
879411400;34.75
879412008;34.75
879412536;34.75
879413144;34.75
879413672;34.75
879414280;34.75
879414808;34.75
879415416;34.75
879415944;34.75
879416552;34.75
879417080;34.75
879417688;34.75
879418216;34.75
879418824;34.75
879419352;34.75
879419960;34.75
879420488;34.75
879421096;34.75
879421624;34.75
879422232;34.75
879422760;34.75
879423368;34.75
879423896;34.75
879424504;34.75
879425032;34.75
879425640;34.75
879426168;34.75
879426776;34.75
879427304;34.75
879427912;34.75
879428440;34.75
879429048;34.75
879429576;34.75
879430184;34.75
879430712;34.75
879431320;34.75
879431848;34.75
879432456;34.75
879432984;34.75
879433592;34.75
879434120;34.75
879434728;34.75
879435256;34.75
879435864;34.75
879436392;34.75
879437056;34.75
879437584;34.75
879438192;34.75
879438720;34.75
879439328;34.75
