Procedure;Address;Image;Calls;Instructions
pthread_rwlock_wrlock;139732673722384;libpthread.so.0;2961834;77007684
_IO_vfprintf;139732663153008;libc.so.6;124663;76899466
recv;139732673738752;libpthread.so.0;2120832;76387347
_Z17trans_register_haP3THDbP10handlerton;94554511599056;mysqld;3453967;75988396
_Z16best_access_pathP4JOINP13st_join_tableyjbdP11st_positionS4_;94554510104592;mysqld;426485;75491711
_ZN13st_select_lex30find_table_def_in_with_clausesEP10TABLE_LIST;94554511131216;mysqld;2045910;73652760
_ZN10Item_field18update_used_tablesEv;94554511744944;mysqld;2821830;73367580
_ZN11Query_cache18append_result_dataEPP17Query_cache_blockmPhS1_;94554509653504;mysqld;1320074;72669356
_ZN13Explain_queryD2Ev;94554510876464;mysqld;1019521;71778985
_Z19mysql_unlock_tablesP3THDP13st_mysql_lockb;94554512460608;mysqld;1019372;71352950
_ZN11Query_cache11split_blockEP17Query_cache_blockm;94554509643824;mysqld;2161403;71326299
_ZN4Item7cleanupEv;94554511640432;mysqld;7063615;70636150
_Z16tc_release_tableP5TABLE;94554511240944;mysqld;1022806;69550560
delete_dynamic;94554517068864;mysqld;4961340;69491246
_ZN6String6appendERKS_;94554510395952;mysqld;2049579;68774627
_ZN6galera13Certification16purge_for_trx_v3EPNS_9TrxHandleE;139732439945280;libgalera_smm.so;11483;68595127
_ZN16Log_event_writer12write_footerEv;94554512501856;mysqld;2486823;68467926
_Z31check_column_grant_in_table_refP3THDP10TABLE_LISTPKcj;94554509533072;mysqld;2274481;68234430
_ZN13st_select_lex18update_used_tablesEv;94554509848592;mysqld;566368;67495416
memdup_root;94554517198016;mysqld;3198729;67173309
_ZN6String11realloc_rawEm;94554510393920;mysqld;2167066;66399938
_Z16get_quick_selectP5PARAMjP7SEL_ARGjjP11st_mem_root;94554512662272;mysqld;767880;66037680
my_hash_first;94554517089056;mysqld;2440535;65905927
_ZN11MDL_context21try_acquire_lock_implEP11MDL_requestPP10MDL_ticket;94554510797664;mysqld;1478382;65439200
_ZN13st_select_lex7cleanupEv;94554510510896;mysqld;1610319;65353791
_ZNK12Field_string4typeEv;94554509576672;mysqld;4978037;64714358
_ZN18QUICK_RANGE_SELECTC1EP3THDP5TABLEjbP11st_mem_rootPb;94554512599600;mysqld;767880;64501920
_Z16lock_table_namesP3THDRK14DDL_options_stP10TABLE_LISTS5_mj;94554509601808;mysqld;1019550;64228628
_ZNSt3tr110_HashtableIPN6galera10KeyEntryNGES3_SaIS3_ESt9_IdentityIS3_ENS1_18KeyEntryPtrEqualNGENS1_17KeyEntryPtrHashNGENS_8__detail18_Mod_range_hashingENS9_20_Default_ranged_hashENS9_20_Prime_rehash_policyELb0ELb1ELb1EE4findERKS3_;139732439986592;libgalera_smm.so;1663050;63675964
_ZN5Field2eqEPS_;94554511557088;mysqld;2851499;63173767
_Z11make_selectP5TABLEyyP4ItemP9SORT_INFObPi;94554512599184;mysqld;1309272;62845056
_ZN3LEX25restore_set_statement_varEv;94554509852720;mysqld;4188515;62827725
.text;94554513282208;mysqld;0;62401140
_ZN5gcomm3evs8InputMap6insertEmRKNS0_11UserMessageERKNS_8DatagramE;139732438963248;libgalera_smm.so;79869;62375352
_ZN10Item_param14append_for_logEP3THDP6String;94554511705008;mysqld;1935643;61712753
_ZN11Query_cache17free_memory_blockEP17Query_cache_block;94554509643680;mysqld;2164407;59378026
_ZN4JOIN18make_sum_func_listER4ListI4ItemES3_bb;94554510191600;mysqld;1077837;59248900
_Z8MYSQLlexP7YYSTYPEP3THD;94554509835936;mysqld;1850052;59201664
_ZN18QUICK_RANGE_SELECT5resetEv;94554512588512;mysqld;767880;59126760
__pthread_disable_asynccancel;139732673737152;libpthread.so.0;4887962;58655544
_Z12mysql_deleteP3THDP10TABLE_LISTP4ItemP10SQL_I_ListI8st_orderEyyP13select_result;94554512826032;mysqld;113853;58179004
