              Procedure           Image            Address        Calls Instructions
my_net_read_packet_reallen          mysqld       565459c07200        48362      1789394
_Z23thd_is_connection_aliveP3THD          mysqld       565459d63f40        48359       580308
_ZN3THD14set_start_timeEv          mysqld       565459c9c950        48359      1208975
    _Z10do_commandP3THD          mysqld       565459c9bd40        48359      5754721
_Z16dispatch_command19enum_server_commandP3THDPcjbb          mysqld       565459c996b0        48359     12767194
_Z18log_slow_statementP3THD          mysqld       565459c89960        48359       725385
_ZN3THD16update_all_statsEv          mysqld       565459c5c5b0        48359       145077
_ZN11Query_cache13end_of_resultEP3THD          mysqld       565459c552c0        48359       635772
_ZN3THD9set_queryERK11CSET_STRING          mysqld       565459c43d50        48359      1837642
_Z20net_after_header_psiP6st_netPvmc          mysqld       565459bf9060        48359      2514668
_Z21net_before_header_psiP6st_netPvm          mysqld       565459bf7880        48359       967180
_ZN3THD12killed_errnoEv          mysqld       565459c5cb90        48358       580296
                   send libpthread.so.0       7fc75a272980        48356      1740816
              vio_write          mysqld       56545a3e4d70        48356      2176020
thd_increment_bytes_sent          mysqld       565459c5ee50        48356       338492
_Z18query_cache_insertPvPKcmj          mysqld       565459c56930        48356       580272
_ZN11Query_cache6insertEP3THDP15Query_cache_tlsPKcmj          mysqld       565459c56780        48356       661836
         net_real_write          mysqld       565459c066d0        48356      3191496
_Z17trans_commit_stmtP3THD          mysqld       565459d73600        48353      1946125
_ZN3THD22reset_for_next_commandEb          mysqld       565459c8b160        48351      3979962
_ZN3THD19cleanup_after_queryEv          mysqld       565459c60b80        48350      2323847
       thd_progress_end          mysqld       565459c60b40        48350       338450
_ZN3THD12update_statsEv          mysqld       565459c5c540        48343       483535
_ZN11Query_cache21send_result_to_clientEP3THDPcj          mysqld       565459c55560        48343     26344572
_ZN6String11realloc_rawEm          mysqld       565459d0b240        48233      1764397
_ZN13st_select_lex14handle_derivedEP3LEXj          mysqld       565459c85bb0        48204      1108692
_ZN15Protocol_binary4typeEv          mysqld       565459c0d5a0        48194       240970
     my_strnxfrm_simple          mysqld       56545a3bc370        47072      1270944
my_strxfrm_pad_desc_and_reverse          mysqld       56545a3bc280        47072      1882880
my_strxfrm_desc_and_reverse          mysqld       56545a3bbfa0        47072       564864
my_strnxfrm_simple_internal          mysqld       56545a3bbbe0        47072     40623136
_ZN12Field_string11sort_stringEPhj          mysqld       565459e1a7e0        47072      1929952
_ZN5Field13make_sort_keyEPhj          mysqld       565459e17400        47072       753152
      _ZN9StatementD1Ev          mysqld       565459c58250        45349      1133725
_Z19wsrep_register_htonP3THDb          mysqld       565459dc0590        45342      3264261
_Z11alloc_queryP3THDPKcj          mysqld       565459c89c70        45329      3490341
_Z15ha_commit_transP3THDb          mysqld       565459e31c10        45327      3702310
_Z20wsrep_must_sync_waitP3THDj          mysqld       565459dc4850        45323       317261
_ZN18Prepared_statement12cleanup_stmtEv          mysqld       565459ca75c0        45322       815796
_Z13cleanup_itemsP4Item          mysqld       565459c89870        45322      1658757
_ZN9Statement22set_n_backup_statementEPS_S0_          mysqld       565459c5e760        45322       815796
_ZN16Item_change_list26rollback_item_tree_changesEv          mysqld       565459c5dfa0        45322       860938
_ZNK18Prepared_statement4typeEv          mysqld       565459ca6cc0        45321       226605
_Z12wsrep_commitP10handlertonP3THDb          mysqld       565459dc0560        45319       453190
_Z19ha_commit_one_phaseP3THDb          mysqld       565459e316d0        45317      1096683
_ZN18st_select_lex_unit21reinit_exec_mechanismEv          mysqld       565459d279e0        45315       498465
_Z19mysqld_stmt_executeP3THDPcj          mysqld       565459cae470        45315       725040
_ZN18Prepared_statement12execute_loopEP6StringbPhS2_          mysqld       565459cadad0        45315      1178190
_ZN18Prepared_statement7executeEP6Stringb          mysqld       565459caca90        45315      7187862
_ZN18Prepared_statement14set_parametersEP6StringPhS2_          mysqld       565459cab190        45315      1543776
_Z22reinit_stmt_before_useP3THDP3LEX          mysqld       565459ca8640        45315      4824537
_Z19mysql_opt_change_dbP3THDPK19st_mysql_lex_stringPS1_bPb          mysqld       565459c6a240        45315      1631340
_ZN16Item_change_list33nocheck_register_item_tree_changeEPP4ItemS1_P11st_mem_root          mysqld       565459c5dee0        45302      1540268
_Z15next_linear_tabP4JOINP13st_join_table20enum_with_bush_roots          mysqld       565459cc2f90        44319      1020751
           my_fill_8bit          mysqld       56545a3bb5e0        44212       265272
_ZN10Field_long4packEPhPKhj          mysqld       565459e26bf0        43501       304507
_ZN12Field_string4packEPhPKhj          mysqld       565459e1abe0        43501      2349054
                 strend          mysqld       56545a3df6f0        42372      2945568
_Z12check_accessP3THDmPKcPmP22st_grant_internal_infobb          mysqld       565459c89ed0        42306      3003726
_Z11check_grantP3THDmP10TABLE_LISTbjb          mysqld       565459c3f3f0        42306      4048630
_Z23get_cached_table_accessP22st_grant_internal_infoPKcS2_          mysqld       565459c3f3a0        42306       642502
_Z18check_table_accessP3THDmP10TABLE_LISTbjb          mysqld       565459c8a760        42300      4145400
_ZN11Query_cache33double_linked_list_simple_includeEP17Query_cache_blockPS1_          mysqld       565459c53c40        42295       592122
_ZN10TABLE_LIST17reinit_before_useEP3THD          mysqld       565459d3f150        42294      1015056
_ZN11select_send7cleanupEv          mysqld       565459c580c0        42294       211470
_ZN17Query_cache_block6resultEv          mysqld       565459c52d90        42294       169176
       _ZN4ItemC2EP3THD          mysqld       565459e449e0        41967      2266224
                strmake          mysqld       56545a3df710        40689       637780
_ZNK23Type_handler_int_result8cmp_typeEv          mysqld       565459db6bc0        40570       202850
_ZNK11Item_string4typeEv          mysqld       565459c0edf0        40003       200015
_ZN10Item_field21field_for_view_updateEv          mysqld       565459e53390        40000       200000
_ZN11Query_cache8find_binEm          mysqld       565459c53550        39143      2575373
    __vdso_gettimeofday          [vdso]       7fffe9533c80        39021      2823645
bitmap_fast_test_and_set          mysqld       56545a3886d0        38677       618832
        gu_uuid_compare libgalera_smm.so       7fc74c20ddc0        37473        74946
  _ZNK9Item_func4typeEv          mysqld       565459c51140        37466       187330
__pthread_rwlock_rdlock libpthread.so.0       7fc75a26e240        36893      1770864
_ZNK9Field_num7charsetEv          mysqld       565459e25580        36816       184080
_ZN16Diagnostics_area14disable_statusEv          mysqld       565459c6d910        36409       182045
_ZN28ACL_internal_schema_registry6lookupEPKc          mysqld       565459c3f2c0        36406      1820300
_ZN3THD31find_tmp_table_share_w_base_keyEPKcj          mysqld       565459ddcc40        36394       946244
_ZN3THD18set_sent_row_countEy          mysqld       565459c61830        36394       291152
_ZN11Query_cache22move_to_query_list_endEP17Query_cache_block          mysqld       565459c55530        36394       545910
_Z21build_normalized_namePcmPKcmS1_mm          mysqld       565459c52fa0        36394      2220034
_ZN13Protocol_text5storeEPKcmPK15charset_info_stS4_          mysqld       565459c0cb60        35484       141936
_ZN8Protocol17net_store_data_csEPKhmPK15charset_info_stS4_          mysqld       565459c0b880        35484      2235492
_ZNK10Field_long11pack_lengthEv          mysqld       565459e25a70        35468       177340
                   @plt       libc.so.6       7fc75982c7e0        34028        34028
                  ftime       libc.so.6       7fc7598cc720        34027       986783
  my_timer_milliseconds          mysqld       56545a3ab3d0        34027       340270
         delete_dynamic          mysqld       56545a368c40        33920       476434
    init_dynamic_array2          mysqld       56545a3688d0        30860       713597
_ZN20Write_rows_log_event21get_general_type_codeEv          mysqld       565459f1aa90        30228       151140
_ZNSt3tr110_HashtableIPN6galera10KeyEntryNGES3_SaIS3_ESt9_IdentityIS3_ENS1_18KeyEntryPtrEqualNGENS1_17KeyEntryPtrHashNGENS_8__detail18_Mod_range_hashingENS9_20_Default_ranged_hashENS9_20_Prime_rehash_policyELb0ELb1ELb1EE4findERKS3_ libgalera_smm.so       7fc74c3931a0        30042      1271385
_ZN5Field20set_explicit_defaultEP4Item          mysqld       565459e24b90        30000       780000
_ZNK10Item_param4typeEv          mysqld       565459e53470        29500       147500
_ZN5Field13get_key_imageEPhjNS_9imagetypeE          mysqld       565459e25350        29285       380705
_ZN5Field9get_imageEPhjPK15charset_info_st          mysqld       565459d908e0        29285       234280
_ZN10Field_long5storeExb          mysqld       565459e1f530        28792       662216
_ZNK10Item_field10field_typeEv          mysqld       565459e532d0        28770       201390
_ZN11MDL_context27release_locks_stored_beforeE17enum_mdl_durationP10MDL_ticket          mysqld       565459d6eb40        28121       508864
_ZNK12Field_string4typeEv          mysqld       565459c439e0        28099       365164
_ZN11Query_cache28insert_into_free_memory_listEP17Query_cache_block          mysqld       565459c53660        27342       820260
_ZN11Query_cache35insert_into_free_memory_sorted_listEP17Query_cache_blockPS1_          mysqld       565459c535c0        27342       437472
_ZN11Query_cache29exclude_from_free_memory_listEP17Query_cache_block          mysqld       565459c53cd0        27341       656184
_ZN9Item_func7cleanupEv          mysqld       565459c51600        27189       326268
_ZN10Item_field18update_used_tablesEv          mysqld       565459e54fb0        26855       698230
_ZN4asio15system_categoryEv libgalera_smm.so       7fc74c32b4f0        26826       321912
_ZNK27Type_handler_decimal_result11result_typeEv          mysqld       565459db6b90        26554       132770
_ZN5TABLE22is_filled_at_executionEv          mysqld       565459d3f060        26260       236340
_ZN10TABLE_LIST13is_active_sjmEv          mysqld       565459cc3fd0        26260       210080
_ZNK5Field11pack_lengthEv          mysqld       565459e25070        25353       126765
_Z14end_send_groupP4JOINP13st_join_tableb          mysqld       565459cde180        25092      1322328
_ZNK10Item_param8cmp_typeEv          mysqld       565459e53440        24656       172592
            decimal_add          mysqld       56545a3d6fe0        24361       170527
       longlong2decimal          mysqld       56545a3d4290        24361      1973241
_ZN17Aggregator_simple3addEv          mysqld       565459edbf40        24361       170527
_ZN12Item_sum_sum3addEv          mysqld       565459edae90        24361       170527
_ZN12Item_sum_sum10add_helperEb          mysqld       565459edabd0        24361      1437299
_ZN17Aggregator_simple11arg_is_nullEb          mysqld       565459ed3730        24361       609025
_ZN17Aggregator_simple15arg_val_decimalEP10my_decimal          mysqld       565459ed36f0        24361       219249
_ZN10Item_field11val_decimalEP10my_decimal          mysqld       565459e3bf20        24361       414137
_ZN9Field_num11val_decimalEP10my_decimal          mysqld       565459e15f50        24361       511581
_Z21test_if_group_changedR4ListI11Cached_itemE          mysqld       565459cd6c30        24361       462859
_Z11copy_fieldsP15TMP_TABLE_PARAM          mysqld       565459cd7450        24302       651768
_ZN7handler11ha_rnd_nextEPh          mysqld       565459e33280        24296      1188345
_Z16rr_from_pointersP11READ_RECORD          mysqld       565459f3ce80        24278       552031
