Procedure;Image;Calls;Instructions
create_last_word_mask;mysqld;30101;812631
Aggregator_simple::arg_is_null(bool);mysqld;32474;811850
Arg_comparator::cache_converted_constant(THD*, Item**, Item**, Item_result);mysqld;24962;810174
Query_cache::split_block(Query_cache_block*, unsigned long);mysqld;24388;804804
Item_func_or_sum::walk(bool (Item::*)(void*), bool, void*);mysqld;11691;803384
trans_register_ha(THD*, bool, handlerton*);mysqld;36468;801516
check_access(THD*, unsigned long, char const*, unsigned long*, st_grant_internal_info*, bool, bool);mysqld;11270;800154
AGGR_OP::end_send();mysqld;625;799456
st_select_lex::find_table_def_in_with_clauses(TABLE_LIST*);mysqld;22131;796716
my_qsort;mysqld;6063;777832
my_bitmap_init;mysqld;26818;777749
my_strxfrm_desc_and_reverse;mysqld;64687;776244
mysql_unlock_tables(THD*, st_mysql_lock*, bool);mysqld;11069;774934
Item::cleanup();mysqld;76354;763540
delete_dynamic;mysqld;54331;762360
Query_cache::register_tables_from_list(THD*, TABLE_LIST*, unsigned int, Query_cache_block_table**);mysqld;8546;760594
Query_cache::end_of_result(THD*);mysqld;12543;754664
rr_from_pointers(READ_RECORD*);mysqld;33047;754456
tc_release_table(TABLE*);mysqld;11085;753592
.text;mysqld;0;746410
Query_cache::allocate_block(unsigned long, char, unsigned long);mysqld;17717;744114
Rows_log_event* THD::binlog_prepare_pending_rows_event<Write_rows_log_event>(TABLE*, unsigned int, unsigned long, bool, Write_rows_log_event*);mysqld;10625;737563
LEX::restore_set_statement_var();mysqld;48847;732705
Log_event_writer::write_data(unsigned char const*, unsigned long);mysqld;34555;729897
Protocol_binary::store(char const*, unsigned long, charset_info_st const*);mysqld;102338;716366
__pthread_disable_asynccancel;libpthread.so.0;59596;715152
Field_str::charset() const;mysqld;142334;711670
handler::update_auto_increment();mysqld;10625;710288
Item_equal::Item_equal(THD*, Item*, Item*, bool);mysqld;6046;707382
std::tr1::_Hashtable<galera::KeySet::KeyPart, galera::KeySet::KeyPart, std::allocator<galera::KeySet::KeyPart>, std::_Identity<galera::KeySet::KeyPart>, galera::KeySet::KeyPartEqual, galera::KeySet::KeyPartHash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_insert_bucket(galera::KeySet::KeyPart const&, unsigned long, unsigned long);libgalera_smm.so;9752;706484
Query_cache::free_memory_block(Query_cache_block*);mysqld;24388;705377
check_column_grant_in_table_ref(THD*, TABLE_LIST*, char const*, unsigned int);mysqld;23382;701460
Arg_comparator::set_compare_func(Item_func_or_sum*, Item_result);mysqld;12481;699008
lock_table_names(THD*, DDL_options_st const&, TABLE_LIST*, TABLE_LIST*, unsigned long, unsigned int);mysqld;11073;697927
my_hash_sort;mysqld;57787;693444
thd_get_thread_id;mysqld;138141;690705
Field::eq(Field*);mysqld;31888;689648
Query_cache::join_free_blocks(Query_cache_block*, Query_cache_block*);mysqld;24388;682864
Field_num::val_decimal(my_decimal*);mysqld;32474;681954
gcomm::AsioTcpSocket::read_handler(asio::error_code const&, unsigned long);libgalera_smm.so;2678;679164
Query_cache::insert_into_free_memory_sorted_list(Query_cache_block*, Query_cache_block**);mysqld;42106;673696
void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.240];libgalera_smm.so;21248;662033
Item_result_field::cleanup();mysqld;60070;660770
__pthread_enable_asynccancel;libpthread.so.0;59596;655556
handler::ha_write_row(unsigned char*);mysqld;10625;653157
net_after_header_psi(st_net*, void*, unsigned long, char);mysqld;12543;652236
lh_insert;libcrypto.so.1.0.0;14273;646988
Field_longstr::report_if_important_data(char const*, char const*, bool);mysqld;23903;645381
Field_string::type() const;mysqld;49603;644716
Rows_log_event::get_data_size();mysqld;12311;644044
strend;mysqld;8832;641716
my_copy_8bit;mysqld;21749;630705
AGGR_OP::put_record(bool);mysqld;33047;630393
THD::binlog_write_row(TABLE*, bool, unsigned char const*);mysqld;10625;626887
String::realloc_raw(unsigned long);mysqld;22980;623048
Field_longstr::check_string_copy_error(String_copier const*, char const*, charset_info_st const*);mysqld;23903;621478
close_thread_table(THD*, TABLE**);mysqld;11085;620669
write_record(THD*, TABLE*, st_copy_info*);mysqld;10625;618766
test_if_group_changed(List<Cached_item>&);mysqld;32474;617006
copy_funcs(Item**, THD const*);mysqld;32422;616018
Query_cache::insert(THD*, Query_cache_tls*, char const*, unsigned long, unsigned int);mysqld;12540;613638
init_read_record(READ_RECORD*, THD*, TABLE*, SQL_SELECT*, SORT_INFO*, int, bool, bool);mysqld;5013;611799
Query_cache::allocate_data_chain(Query_cache_block**, unsigned long, Query_cache_block*, char);mysqld;8546;611358
handle_select(THD*, LEX*, select_result*, unsigned long);mysqld;8554;607334
Statement::set_statement(Statement*);mysqld;35669;606373
set_thd_proc_info;mysqld;40367;605505
operator new(unsigned long, std::nothrow_t const&);libstdc++.so.6;54969;604659
THD::cleanup_after_query();mysqld;12526;601911
String::set_or_copy_aligned(char const*, unsigned int, charset_info_st const*);mysqld;20015;600450
Item_equal::walk(bool (Item::*)(void*), bool, void*);mysqld;12092;598296
THD::set_statement(Statement*);mysqld;23772;594300
Item_func_eq::build_equal_items(THD*, COND_EQUAL*, bool, COND_EQUAL**);mysqld;6046;592508
