Procedure;Image;Calls;Instructions
asio::detail::reactive_socket_send_op<asio::detail::consuming_buffers<asio::const_buffer, std::tr1::array<asio::const_buffer, 2ul> >, asio::detail::write_op<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::const_buffer, 2ul>, asio::detail::transfer_all_t, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > > >::do_complete(asio::detail::task_io_service*, asio::detail::task_io_service_operation*, asio::error_code const&, unsigned long);libgalera_smm.so;58824;5882400
key_copy(unsigned char*, unsigned char*, st_key*, unsigned int, bool);mysqld;109974;5837910
__vdso_gettimeofday;[vdso];82106;5775000
Write_rows_log_event::binlog_row_logging_function(THD*, TABLE*, bool, unsigned char const*, unsigned char const*);mysqld;640330;5762970
Field_long::cmp(unsigned char const*, unsigned char const*);mysqld;441990;5745870
handler::ha_rnd_pos(unsigned char*, unsigned char*);mysqld;110261;5733572
end_send_group(JOIN*, st_join_table*, bool);mysqld;109926;5724024
pthread_self;libpthread.so.0;2859740;5719480
gcomm::Map<gcomm::InputMapMsgKey, gcomm::evs::InputMapMsg, std::map<gcomm::InputMapMsgKey, gcomm::evs::InputMapMsg, std::less<gcomm::InputMapMsgKey>, std::allocator<std::pair<gcomm::InputMapMsgKey const, gcomm::evs::InputMapMsg> > > >::insert_unique(std::pair<gcomm::InputMapMsgKey const, gcomm::evs::InputMapMsg> const&);libgalera_smm.so;33444;5650539
__pthread_getspecific;libpthread.so.0;335793;5630506
Protocol_binary::store(Field*);mysqld;330486;5618262
query_cache_query_get_key;mysqld;240360;5528280
gcomm::GMCast::handle_down(gcomm::Datagram&, gcomm::ProtoDownMeta const&);libgalera_smm.so;29405;5528081
asio::detail::reactive_socket_recv_op_base<asio::detail::consuming_buffers<asio::mutable_buffer, std::tr1::array<asio::mutable_buffer, 1ul> > >::do_perform(asio::detail::reactor_op*);libgalera_smm.so;45890;5466864
asio::system_category();libgalera_smm.so;455148;5461776
handler::ha_rnd_next(unsigned char*);mysqld;110616;5419144
gcomm::evs::Proto::handle_msg(gcomm::evs::Message const&, gcomm::Datagram const&, bool);libgalera_smm.so;43943;5382934
handler::ha_write_tmp_row(unsigned char*);mysqld;110264;5292672
asio::detail::epoll_reactor::start_op(int, int, asio::detail::epoll_reactor::descriptor_state*&, asio::detail::reactor_op*, bool, bool);libgalera_smm.so;84001;5154835
Field::real_type() const;mysqld;643687;5149496
Field_long::key_type() const;mysqld;641109;5128872
Rows_log_event::is_valid() const;mysqld;639744;5117952
boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list_av_3<boost::shared_ptr<gcomm::AsioTcpSocket>, boost::arg<1> (*)(), boost::arg<2> (*)()>::type> boost::bind<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long, boost::shared_ptr<gcomm::AsioTcpSocket>, boost::arg<1> (*)(), boost::arg<2> (*)()>(void (gcomm::AsioTcpSocket::*)(asio::error_code const&, unsigned long), boost::shared_ptr<gcomm::AsioTcpSocket>, boost::arg<1> (*)(), boost::arg<2> (*)());libgalera_smm.so;83994;4535676
Log_event_writer::encrypt_and_write(unsigned char const*, unsigned long);mysqld;141022;4512704
Field_string::unpack(unsigned char*, unsigned char const*, unsigned char const*, unsigned int);mysqld;109587;4493067
dispatch_command(enum_server_command, THD*, char*, unsigned int, bool, bool);mysqld;16330;4256094
Query_cache_block::data();mysqld;352583;4230996
Query_cache_block::headers_len();mysqld;600693;4204851
Protocol::write();mysqld;346505;4158060
gcomm::evs::Proto::deliver();libgalera_smm.so;73329;4149812
gcomm::evs::Proto::send_user(long);libgalera_smm.so;51529;4009740
gcomm::evs::Proto::send_user(gcomm::Datagram&, unsigned char, gcomm::Order, long, long, unsigned long);libgalera_smm.so;55161;3981087
Item_int::~Item_int();mysqld;646969;3881814
Lex_input_stream::body_utf8_append(char const*, char const*);mysqld;1293128;3879384
my_hash_sort_simple;mysqld;110262;3859154
get_wsrep;mysqld;640664;3843984
